member_casual,hour_of_day,total_rides
casual,00,36899
casual,01,23785
casual,02,15719
casual,03,8671
casual,04,7094
casual,05,11250
casual,06,25719
casual,07,47614
casual,08,66995
casual,09,62060
casual,10,70796
casual,11,90002
casual,12,108027
casual,13,111127
casual,14,117701
casual,15,134038
casual,16,157920
casual,17,174571
casual,18,150508
casual,19,112240
casual,20,81853
casual,21,70261
casual,22,59419
casual,23,42671
member,00,31755
member,01,19622
member,02,11793
member,03,7660
member,04,8683
member,05,34220
member,06,101027
member,07,201062
member,08,261306
member,09,165295
member,10,139727
member,11,163409
member,12,186008
member,13,181370
member,14,184399
member,15,233682
member,16,334218
member,17,379840
member,18,293103
member,19,202196
member,20,140795
member,21,109886
member,22,79899
member,23,49421
